Year,Gender,Degree,School,Title,Degrees Conferred
2005-06,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1
2005-06,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,27
2006-07,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3
2006-07,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,18
2007-08,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2
2007-08,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,13
2008-09,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,18
2009-10,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1
2009-10,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,16
2010-11,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,24
2011-12,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2
2011-12,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,20
2012-13,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1
2012-13,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,19
2013-14,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1
2013-14,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3
2013-14,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,8
2013-14,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,29
2014-15,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1
2014-15,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,4
2014-15,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,7
2014-15,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,33
2015-16,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2
2015-16,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,4
2015-16,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,8
2015-16,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,25
